商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
ザ シングルモルツ オブ スコットランド マノックモア 2009 ホグスヘッド 12年 57.8% 700MLザ シングルモルツ オブ スコットランド,"香り：熟したグリーンアップル、花の蜜、シロップのアロマから徐々にハチミツへと変化。
味わい：ハチミツの甘味、バニラ、ジューシーなアップル、モルトの甘味。
フィニッシュ：ナツメグのアクセント、柔らかな甘み。",https://www.saketry.com/112392.html,スコットランド,スペイサイド,ザ シングルモルツ オブ スコットランド,Elixir Distillers,57.8,700,マノックモア蒸留所,2009,12
ザ シングルモルツ オブ スコットランド カリラ 2007 ホグスヘッド 13年 56.5% 700MLザ シングルモルト オブ スコットランド,"香り：焚火から立ち昇る煙、スモーキー、レモンピール、ジャスミン、磯の香り。
味わい：オイリー、潮、バニラウエハース、レモンクリーム、ピートスモーク。
フィニッシュ：灰のような苦味。",https://www.saketry.com/112393.html,スコットランド,アイラ,ザ シングルモルツ オブ スコットランド,Elixir Distillers,56.5,700,カリラ蒸溜所,2007,13
スモークヘッド ラム レベル 46% 700MLスモークヘッド,"香り：強いスモーク＆ピート、シトラス、トロピカルフルーツ、マシュマロ、ベーコン。
味わい：豊かな強いピート、厚みのあるオイリー、海のしぶき、ドライなスパイス、バナナ、褐色系のウッド。
フィニッシュ：乾いた土、キャラメル、シナモン、ナツメグ、バニラ、長く続くスモーク。",https://www.saketry.com/112394.html,スコットランド,アイラ,,イアンマックロード,46,700,,,
アラン 21年 46% 700MLアラン,"香り：シトラス、甘い麦、ダークチョコレート、ジンジャー、ドライフルーツ。
味わい：ヘーゼルナッツ、マーマレードジャム、アプリコット、オーク、ダークフルーツ、クローブ。
フィニッシュ：オーク、ダークフルーツ、クローブ。",https://www.saketry.com/112396.html,スコットランド,アイランズ,アラン,,46,700,アイル オブ アラン蒸溜所,,21
キルケラン 12YO 46% 700MLキルケラン,"香り：海風を伴ったピート、蜜蝋、バニラ、リコリス、ライム、レモン、ホワイトペッパー。
味わい：塩気、メロン、蜂蜜、トフィー、ピートスモーク、ジンジャーブレッド。
フィニッシュ：コーヒービーンズチョコ。",https://www.saketry.com/112397.html,スコットランド,キャンベルタウン,キルケラン,J&A Mitchell & Co Ltd,46,700,ミチェルズ・グレンガイル蒸留所,12,
ザ シングルカスク シングルモルト ウイスキー GNR-13 50.6% 750MLビハインド・ザ・カスク,,https://www.saketry.com/112399.html,スコットランド,スペイサイド,BEHIND THE CASK,BEHIND THE CASK,50.6,750,,,
ファースト エディションズ ブレアアソール 2010 10年 シェリー 50.1% 700MLファースト エディションズ,"香り：バニラ、バターショートブレンド、フォンダンアイシングの円熟した甘い香り。
味わい：バニラ、バタークロワッサン、ペパーミントクリーム。
フィニッシュ：フローラル。",https://www.saketry.com/112400.html,スコットランド,ハイランド,ファースト エディションズ,エディションスピリッツ,50.1,700,ブレアアソール蒸留所,2010,10
ファースト エディションズ ジュラ 2007 14年 シェリー 50.1% 700MLファーストエディションズ,"香り：クリームブリュレ、バニラカスタード、アイシングジンジャーブレッドの円熟した甘い香り。
味わい：バターファッジ、バニラショートケーキ、クリーミー。
フィニッシュ：わずかにドライ、甘いフィニッシュが続く。",https://www.saketry.com/112401.html,スコットランド,アイランズ,ファストエディションズ,エディションスピリッツ,50.1,700,ジュラ,2007,14
厚岸 二十四節気 大寒 48% 700ML二十四節気 シリーズ,,https://www.saketry.com/112404.html,日本,北海道,二十四節気 シリーズ,堅展実業株式会社,48,700,厚岸蒸留所,,
インバーゴードン 1965 55年 40.2% 700mlローガ,,https://www.saketry.com/112406.html,スコットランド,ハイランド,ローガ,,40.2,700,インバーゴードン蒸溜所,1965,55
グレンマレイ 2007 14年 52.4% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/112408.html,スコットランド,スペイサイド,ディスティラリーズ・コレクション,,52.4,700,グレンマレイ蒸留所,2007,14
アラン 2012 へビリーピーテッド バーボンバレル 8年 60.8% 700MLアラン ヘビーリーピーテッド,"香り：スモーキー、灰、オレンジピール、バニラ、モルト、オーク、麦わら。
味わい：バニラクリーム、金柑、ハチミツ、アンズ、ピートスモーク。
フィニッシュ：ほのかな塩気、麦わら。",https://www.saketry.com/112409.html,スコットランド,アイランズ,,,60.8,700,アイル オブ アラン蒸溜所,2012,8
THOMPSON BROS.スペイサイド蒸留所 1989 31年 51.3% 700MLTHOMPSON BROS.,"香り：グーズベリー、オレンジフレッシュ、グレープフルーツピール、アプリコット、熟しきっていないマンゴー、
味わい：ビージャオレンジ、ハチミツ（ミード）、パパイヤ、焼き梨、上品なオーク感、ゴールデンシロップ。
フィニッシュ：クリーミー、ほのかにドライ、そこからハチミツ、シトラスの甘味にあふれる。",https://www.saketry.com/112411.html,スコットランド,スペイサイド,THOMPSON BROS.,ドーノッホ蒸留所,51,700,スペイサイド蒸留所,1989,31
バスカ― アイリッシュウイスキーバスカ― アイリッシュウイスキー,香り：プラム、トロピカルフルーツ、バニラ、ハチミツ、干し草。,https://www.saketry.com/112413.html,アイルランド,カーロウ,バスカ― アイリッシュウイスキー,,40,700,ロイヤルオーク蒸留所,,
バスカー シングルモルト アイリッシュウイスキー 44.3% 700MLバスカー シングルモルト アイリッシュウイスキー,"香り：リンゴ、エルダーフラワー、バナナ、麦芽ビスケット、スパイス、パインツリー。
味わい：洋梨、アップル、キャラメル、カシューナッツ、トフィーシナモン、チョコレート。
フィニッシュ：クリーミーな甘み、長い余韻。",https://www.saketry.com/112414.html,アイルランド,カーロウ,バスカ― シングルモルト アイリッシュウイスキー,,44.3,700,ロイヤルオーク蒸留所,,
BB&R ロイヤルブラックラ 2006 15年 ホグスヘッド 55.7% 700ML日本向けシングルカスク,,https://www.saketry.com/112415.html,スコットランド,ハイランド,,ベリーブラザーズ＆ラッド,55.7,700,ロイヤル ブラックラ蒸留所,2006,15
BB&R シークレットスペイサイド 2004 17年 ホグスヘッド 56.1% 700ML日本向けシングルカスク,,https://www.saketry.com/112416.html,スコットランド,スペイサイド,,ベリーブラザーズ＆ラッド,56.1,700,,2004,17
"『ヤッターマン』""ドロンジョ"" ラベル トーモア 1988 31年 44.2% 700ML漫画ラベルシリーズ","香り：色の薄い干しブドウ。オレンジの果汁。赤いリンゴ。徐々にハチミツの甘さが出てくる。
味わい：ソフトで柑橘類のフルーティさがある。徐々にドライになっていくが、デリケートな甘さは残る。
フィニッシュ：わずかにビターでスパイシー。加水すると飲みやすくなり、上品さが出てくる。グラスの残り香には、ココナッツのフレーバー。",https://www.saketry.com/112417.html,スコットランド,スペイサイド,漫画ラベルシリーズ,,44.2,700,トーモア蒸留所,1988,31
"『ヤッターマン』""ドロンボー"" ラベル シークレット ハイランド 2000 20年  53.1% 700ML漫画ラベルシリーズ","香り：ワクシー、オイリーで、かすかにダーティ。焦げた香り。ひれ酒に使うフグの炙ったひれ。ザクロの甘さが徐々に出てくる。
味わい：やや焦げたトースト。鉛筆の削りかすとピート。
フィニッシュ：わずかに干し椎茸と熱した黒砂糖。加水するとスパイシーさが目立つようになる。",https://www.saketry.com/112418.html,スコットランド,ハイランド,漫画ラベルシリーズ,,53.1,700,,2000,20
リンクウッド 2008 13年 ホグスヘッド 59% 700ML15周年 記念ボトル,,https://www.saketry.com/112419.html,スコットランド,スペイサイド,,ネクター,59,700,リンクウッド蒸留所,2008,13
ボウモア 1995 26年  ホグスヘッド 50.4% 700ML15周年記念ボトル,"香り：グレープフルーツキャンディー、ヨード、スモーク。
味わい：甘いスモーク、オーク、ヨード、ライチ、シトラス、グレープフルーツキャンディー。
フィニッシュ：メンソール、長い余韻。",https://www.saketry.com/112420.html,スコットランド,アイラ,,ネクター,50.4,700,ボウモア,1995,26
レダイグ 1995 26年 ホグスヘッド 48.4% 700ML15周年記念ボトル,,https://www.saketry.com/112421.html,スコットランド,アイランズ,,ネクター,48.4,700,レダイグ蒸溜所,1995,26
グレントファース 1989 31年 ホグスヘッド 45.5% 700ML15周年記念ボトル,,https://www.saketry.com/112422.html,スコットランド,スペイサイド,,ネクター,45.5,700,グレントファース蒸留所,1989,31
バルメナック 1989 32年 ホグスヘッド 44.6% 700ML15周年記念ボトル,,https://www.saketry.com/112423.html,スコットランド,スペイサイド,,,44.6,700,バルメナック蒸留所,1989,32
ノース オブ スコットランド 1972 49年 バーボンバレル 40.5% 700ML15周年記念ボトル,,https://www.saketry.com/112424.html,スコットランド,ローランド,,ネクター,40.5,700,ノース オブ スコットランド蒸留所,1972,49
ザ ファミリー リザーヴ Ⅲ 58.7% 700MLザ ファミリー リザーヴ,,https://www.saketry.com/112425.html,スコットランド,スペイサイド,ザ ファミリー リザーヴ,J&G.グラント,58.7,700,グレンファークラス蒸留所,,
ザ ファミリー リザーヴⅣ  58.8% 700MLザ ファミリー リザーヴ,,https://www.saketry.com/112426.html,スコットランド,スペイサイド,ザ ファンリー リザーブ,J&G.グラント,58.8,700,グレンファークラス蒸留所,,
グレントファース 2014 6年 47.5% 700MLカーンモア ストリクトリー リミテッド,,https://www.saketry.com/112427.html,スコットランド,スペイサイド,カーンモア ストリクトリー リミテッド,モリソン・スッコチウイスキー ディスティラーズ,47.5,700,グレントファース蒸留所,2014,6
ロングモーン 2014 6年 47.5% 700MLカーンモア ストリクトリー リミテッド,,https://www.saketry.com/112428.html,スコットランド,スペイサイド,カーンモア ストリクトリー リミテッド,モリソン・スッコチウイスキー ディスティラーズ,47.5,700,ロングモーン蒸留所,2014,6
グレンマレイ 2013 8年 47.5% 700MLカーンモア ストリクトリー リミテッド,,https://www.saketry.com/112429.html,スコットランド,スペイサイド,カーンモア ストリクトリー リミテッド,モリソン・スッコチウイスキー ディスティラーズ,47.5,700,グレンマレイ蒸留所,2013,8
