商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
ストラスアイラ 2012 1stフィル・バーボンバレル 10年 53.4% 700mlThe Whisky Cellar,"香り：甘いショートブレッド、バニラ、青リンゴ、レモンの皮。
味わい：甘いビスケット、さくらんぼグラッセ、ホワイトチョコレート、レモンの花、グラニュー糖の粉砂糖。
フィニッシュ：まろやかなスパイス感、リンゴのタルトタタンの爽やかさ、甘さが強調され余韻が続く。",https://www.saketry.com/113021.html,スコットランド,スペイサイド,ザ・ウイスキー・セラー,ザ・ウイスキー・セラー,53.4,700,ストラスアイラ蒸溜所,2012,10
ピンテイル - グレンエルギン 2008 フロック・ド・ガスコーニュ・バリック・フィニッシュ 14年 54.1% 700mlThe Whisky Cellar,"香り：甘いクランベリー、ローズヒップ、ペッパー、ウッディーなスモーキーさ。
味わい：トーストしたアーモンド、モレロチェリー、ピンクペッパー、チャーコール。
フィニッシュ：スペイサイドとしては驚くほどスモーキー、温かみのあるペッパー感のキックと熟した赤い果実のような甘さが余韻として残る。",https://www.saketry.com/113022.html,スコットランド,スペイサイド,ザ・ウイスキー・セラー,ザ・ウイスキー・セラー,54.1,700,グレンエルギン蒸溜所,2008,14
ピンテイル - マノックモア 2008 トカイアスー・カスク・フィニッシュ 14年 55.1% 700mlThe Whisky Cellar,"香り：サルタナレーズン、エキゾチックなフルーツ。
味わい：熟したアプリコット、焼きオレンジ、トロピカルフルーツ、ジンジャーのスパイス。
フィニッシュ：ペッパー、サフランスパイス、黒蜜、ほんのりと香ばしさが残る。",https://www.saketry.com/113023.html,スコットランド,スペイサイド,ザ・ウイスキー・セラー,ザ・ウイスキー・セラー,55.1,700,マノックモア蒸溜所,2008,14
ピンテイル - リンクウッド 2008 マンサニージャ・シェリー・カスク・フィニッシュ 14年 53.5% 700mlThe Whisky Cellar,フィニッシュ：アプリコット、黄色いリンゴの皮、甘くて塩辛いポップコーン。,https://www.saketry.com/113024.html,スコットランド,スペイサイド,ザ・ウイスキー・セラー,ザ・ウイスキー・セラー,53.5,700,リンクウッド蒸溜所,2008,14
NAS 4 - モートラック 10年 58.5% 700mlウイスキースポンジ,,https://www.saketry.com/113025.html,スコットランド,スペイサイド,ウィスキースポンジ,Decadent Drinks,58.5,700,モートラック蒸溜所,,10
クロフテンギア 2007 15年 57.1% 700mlウイスキースポンジ,,https://www.saketry.com/113026.html,スコットランド,ハイランド,ウィスキースポンジ,Decadent Drinks,57.10%,700,ロッホローモンド蒸留所,2007,15
イクイノックス＆ソルスティス スプリングエディション 2023 ベンネヴィス 10年 48.5% 700mlイクイノックス＆ソルスティス,,https://www.saketry.com/113027.html,スコットランド,ハイランド,ウイスキースポンジ,Decadent Drinks,48.5,700,ベンネヴィス蒸溜所,,10
グレンマレイ 1992 30年 49.7% 700mlウイスキースポンジ,,https://www.saketry.com/113028.html,スコットランド,スペイサイド,ウィスキースポンジ,Decadent Drinks,49.7,700,グレンマレイ蒸溜所,1992,30
グレンスペイ 1989 32年 60.0% 700mlウイスキースポンジ,,https://www.saketry.com/113029.html,スコットランド,スペイサイド,ウィスキースポンジ,Decadent Drinks,60,700,グレンスペイ蒸溜所,1989,32
インチガワー 1998 23年 #9994 for Bar Salvador 52.3% 700MLBar Salvador オリジナルボトル,,https://www.saketry.com/113032.html,スコットランド,スペイサイド,,,52.3,700,インチガワ―,1998,23
｢グリーンドラム｣ ワールドブレンデッドモルト ウイスキー 46&% 700mlグリーンドラム,,https://www.saketry.com/113033.html,日本,大分県,グリーンドラム,津崎商事,46,700,久住蒸留所,,
グレンゴイン 2008 12年 48.4% 700MLオールドパティキュラー,"香り：たっぷりのダークフルーツの後からレッドフルーツを、更に僅かだが様々な焦がしスパイスやモルトも感じる。
味わい：ねっとり濃厚なフルーツフレーバーのトフィーや素晴らしいスパイス、焦げたトーストパン、微かなミント。
フィニッシュ：口いっぱいに感じたドライシトラスが砂糖のように甘いモルトに変わっていき、最後に乾燥ミックススパイスで締めくくられる。",https://www.saketry.com/113038.html,スコットランド,ハイランド,オールド・パティキュラー,ダグラス・レイン,48.4,700,グレンゴイン蒸溜所,2008,12
グレンロッシ 2009 12年 48.4% 700MLオールドパティキュラー,"香り：たっぷりのダークフルーツの後からレッドフルーツを、更に僅かだが様々な焦がしスパイスやモルトも感じる。
味わい：ねっとり濃厚なフルーツフレーバーのトフィーや素晴らしいスパイス、焦げたトーストパン、微かなミント。
フィニッシュ：口いっぱいに感じたドライシトラスが砂糖のように甘いモルトに変わっていき、最後に乾燥ミックススパイスで締めくくられる。",https://www.saketry.com/113039.html,スコットランド,スペイサイド,オールド・パティキュラー,ダグラス・レイン,48.4,700,グレンロッシ―蒸溜所,2009,12
ポート ダンダス 2000 21年 51.5% 700MLオールドパティキュラー,"香り：柑橘系のピリッとした酸味の後から、ブラウンシュガーと焦がしオークの香り
味わい：バニラとカスタードクリームに、キャンディーやシロップ漬けのフルーツミックス
フィニッシュ：引き続きスモークのニュアンス、シリアルやシナモンシュガーをまぶした焼きリンゴ",https://www.saketry.com/113040.html,スコットランド,ローランド,オールド・パティキュラー,ダグラス・レイン,51.5,700,ポートダンダス蒸溜所,2000,21
ストラスクライド 2005 16年 48.4% 700MLオールドパティキュラー,"香り：火にくぐらせた洋ナシとストロベリージャムを伴った甘いスパイスの香り。
味わい：新鮮なネクタリンが、シナモンやクリーミーなシリアルに変わる。
フィニッシュ：桃のクランブル、バニラ、じんわり温かいオークのニュアンスがいつまでも続く。",https://www.saketry.com/113041.html,スコットランド,ローランド,オールド・パティキュラー,ダグラス・レイン,48.4,700,ストラスクライド蒸溜所,2005,16
ベンリネス 2006 15年 48.4% 700MLオールドパティキュラー,"香り：ガツンと力強い香りから、次第にスパイスやバナナ、カスタードに変わる。
味わい：ハチミツシロップやモルトエッセンスに浸した温かいアップルや洋ナシのニュアンス
フィニッシュ：大麦ミックスの中でバニラファッジや砕いた砂糖の塊の甘みが強くなるのを感じる。",https://www.saketry.com/113042.html,スコットランド,スペイサイド,オールド・パティキュラー,ダグラス・レイン,48.4,700,ベンリネス蒸溜所,2006,15
グレンバーギー 2007 15年 48.4% 700MLオールドパティキュラー,"香り：青果店に並んだ木箱に入れられた秋のフルーツの、力強くも懐かしい香り。
味わい：ホームメイド菓子のクリーミーで濃厚な味わい。熟した青リンゴとシロップ。
フィニッシュ： じんわり温かいスパイス。昔よく飲んだホットトディを思い出す。",https://www.saketry.com/113043.html,スコットランド,スペイサイド,オールド・パティキュラー,ダグラス・レイン,48.4,700,グレンバーギー蒸溜所,2007,15
ジュラ2008 14年 48.4% 700MLオールドパティキュラー,"香り：ボトルを開けた瞬間から大麦がはっきりと香り立ち、クリーミーなポリッジとオレンジゼストも感じる。
味わい：ピリッと苦いマーマレードが、モルト、ハニーコム（英国伝統のカルメ焼き）、ミルク入りコーヒーに変わる。
フィニッシュ：上質のオーク、トフィーの甘み、ドライアプリコットを伴った長いフィニッシュ。",https://www.saketry.com/113044.html,スコットランド,アイランズ,オールド・パティキュラー,ダグラス・レイン,48.4,700,アイル オブ ジュラ蒸溜所,2008,14
『花の慶次』ラベル／グレンキース1998 22年 51.9% 700ML漫画ラベルシリーズ,"香り：サクラやハナミズキの花。リンゴの皮。ビスケットとクリーム。
味わい：桜餅。パティスリー。モルティーな甘さとスパイスのパウダー。ややビターなフィニッシュ。加水するとココナッツの風味がでてくる。",https://www.saketry.com/113045.html,スコットランド,スペイサイド,漫画ラベルシリーズ,,51.9,700,グレンキース蒸溜所,1998,22
『花の慶次』ラベル／シークレットスペイサイド2007 15年 48.8% 700ML漫画ラベルシリーズ,"香り：焼きシイタケ。シナモン風味のキャンディ。オレンジピールのドライフルーツ。
味わい：最初、柑橘系のキャンディーと花粉。やや粉っぽいがジューシーなフィニッシュ。加水するとすっきりとして、スムーズになる。",https://www.saketry.com/113046.html,スコットランド,スペイサイド,漫画ラベルシリーズ,,48.8,700,,2007,15
『篠山紀信』ラベル／リンクウッド2008 13年 52.8% 700ML漫画ラベルシリーズ,"香り：すっきりとして、透明感がある。すりおろしリンゴ。金柑の皮。
味わい：最初、柑橘系のキャンディーと花粉。やや粉っぽいがジューシーなフィニッシュ。加水するとすっきりとして、スムーズになる。",https://www.saketry.com/113047.html,スコットランド,スペイサイド,,,52.8,700,リンクウッド蒸溜所,2008,13
｢Laksa｣ TMA×山岡秀雄 シークレットハイランド2010 12年 51.9% 700MLTMA×山岡秀雄,"香り：ミルクチョコレート、ウエハース、ティラミス。徐々にモルティーで、ワクシーなニュアンスがでてくる。
味わい：スパイシーで、ワクシー。ドライフルーツとカカオ豆。フィニッシュにシナモンとタール。加水すると、ワクシーさや、オイリーさが強くなる。",https://www.saketry.com/113048.html,スコットランド,ハイランド,,,51.9,700,,2010,12
アベラワー 2010 12年 リフィル シェリーバット 52.5% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/113050.html,スコットランド,スペイサイド,ディスティラリーズ・コレクション,スコッチモルト・セールス,52.5,700,アベラワー蒸溜所,2010,12
ベンリアック 2013 9年 シェリーホグスヘッド 53.4% 700mlザ・イリディセント・カスク,,https://www.saketry.com/113051.html,スコットランド,スペイサイド,ザ・イリデセント・カスク,スコッチモルト・セールス,53.4,700,ベンリアック蒸溜所,2013,9
シークレット・アイラ 2019 3年 ホグスヘッド 53.9% 700mlザ・イリディセント・カスク,,https://www.saketry.com/113052.html,スコットランド,アイラ,ザ・イリデセント・カスク,スコッチモルト・セールス,53.9,700,,2019,3
ディーンストン 2008 14年 バレル 52.9% 700mlクライマックスシリーズ,,https://www.saketry.com/113053.html,スコットランド,ハイランド,クライマックスシリーズ,スコッチモルト・セールス,52.9,700,ディーンストン蒸溜所,2008,14
グレンマレイ 2007 15年 バレル 49.3% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/113054.html,スコットランド,スペイサイド,ディスティラリーズ・コレクション,スコッチモルト・セールス,49.3,700,グレンマレイ蒸溜所,2007,15
ノースブリティッシュ 1994 28年 ファーストフィル・バーボンバレル 43.5% 700mlThe Whisky Cellar,"香り：レモンの花、クリーミーなバニラ、カスタードクリームビスケット。
味わい：バニラアイスクリーム、ホワイトチョコレート、ナツメグパウダー、ココナッツマカロン。
フィニッシュ：ウッディーなスパイスとマダガスカル産バニラのより甘く長い余韻。",https://www.saketry.com/113061.html,スコットランド,ローランド,ザ・ウイスキー・セラー,ザ・ウイスキー・セラー,43.5,700,ノースブリティッシュ蒸溜所,1994,28
ウルフバーン ジャパン・エクスクルーシブ 6 2016 6年 カスク No. 196 50% 700mlウルフバーン,,https://www.saketry.com/113062.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,50,700,ウルフバーン蒸溜所,,
NAS 6 ブレンデッド・モルト 17YO 53％ 700mlウイスキースポンジ,"香り：リッチでありながらやさしくフルーティーなシェリーのプロファイル、たっぷりのダークフルーツ、ミルクチョコレート、背景には土っぽさ、タバコ、ランシオの素敵なノート。クラシカルで非常に魅力的な、古きよき時代の味わい！
味わい：非常に飲みやすく、カスクストレングスのふくよかさとリッチさ、そしてアルコール度数を少し下げたことによる飲みやすく親しみやすいフルーツのバランスがとれている。たくさんのダークフルーツ、ビターチョコレート、ランシオ、そしてタバコ、甘草、キイチゴのニュアンスのワインの甘い味わい。
フィニッシュ：余韻は長く、やはりダークで少しエキゾチックなフルーツ、蜜、クルミとランシオのニュアンスが支配的。",https://www.saketry.com/113069.html,スコットランド,,ウィスキースポンジ,Decadent Drinks,53,700,,,17
キャンドルキティ 2010 12年 57.1% 700mlウイスキースポンジ,"香り：非常にクラシカルで、ジューシーなワックス香、自然な甘さ、柔らかいシリアル、海岸沿いの花、ミネラルオイルなど、蒸溜所の特徴をフルに発揮している。
味わい：素晴らしく太く、蝋のような質感、自然な甘さ、ジューシーさ、白い花、薬品っぽさ、チョーク、海岸の砂利の小さなタッチ感。この蒸留所の華やかで非常に古典的な表現です。
フィニッシュ：長く、ワックスのようで、白いフルーツと柑橘類が鮮やかに香り、美しい海岸とミネラルの余韻。",https://www.saketry.com/113070.html,スコットランド,,ウイスキースポンジ,Decadent Drinks,57.1,700,,2010,12
バルブレア 15年 48.5％ 700mlウイスキースポンジ,"香り：緑と柑橘系のフルーツサラダ、ハチミツをたっぷりとかけ、甘みとボディ感を加えるカスタードのような濃厚なノートが次第に満ちてくる。ワックスとスパイスの微妙なニュアンスが背景にある。
味わい：危険なほど飲みやすい。ワックス、フルーツティー、西洋プラムのニュアンスとともに、太さとやさしいフルーツの素晴らしいバランスが感じられる。フレッシュさと熟成感のバランスが完璧な熟成年数で捉えられている。
フィニッシュ：程よい余韻があり、よりスパイシーでワックス香が強くなっていくが、その間もバルブレアの華やかなフルーティーさを保っている。",https://www.saketry.com/113071.html,スコットランド,ハイランド,ウイスキースポンジ,Decadent Drinks,48.5,700,バルブレア蒸溜所,,15
グレンファークラス マリアージュ オブ カスクス 2023 スプリング/サマーマリアージュ オブ カスクス,,https://www.saketry.com/113075.html,スコットランド,スペイサイド,マリアージュ・オブ・カスクス,,50.5,700,グレンファークラス,,
トリックスター リンクウッド 2011 11年 バーボンバレル 56.5% 700MLトリックスター,"香り：ドライ、ホワイトペッパー、ジンジャー、力強い新木系のウッディなスパイス。
味わい：大麦糖、砂糖漬けの果物、フルーツキャンディー、青リンゴ、メロンソーダ、ライチのシャーベット。
フィニッシュ：生姜せんべい、柑橘皮の砂糖漬け、万願寺唐辛子、柚子胡椒、山椒、果実の甘さを残しつつも、ドライでスパイシーに続く。",https://www.saketry.com/113083.html,スコットランド,スペイサイド,トリックスター,RUDDER,56.5,700,リンクウッド蒸溜所,2011,11
キングスバリー ゴールド キースモア 1996 25年 54.3% 700MLゴールドシリーズ,"香り：ハチミツ、ドライフルーツ、バターケーキ、ワックスがけのレモンの香り。
味わい：シルクのように滑らか、桃、微かなシトラスフルーツを伴ったカスタード。
フィニッシュ：上品で長く続き、遠い昔の記憶のように少しずつそっと消えていく。",https://www.saketry.com/113088.html,スコットランド,スペイサイド,ゴールドシリーズ,キングスバリー,54.3,700,,1996,25
ダフトミル 2010 12年 ウインターバッチ シリーズ 46% 700MLバッチ シリーズ,"香り：刈りたての草、ハーブ、シトラス、ハチミツ、フローラルな花。
味わい：フルーツ、シトラスクリーム、バニラカスタード、フルーツティー、カモミール、亜麻仁油。
フィニッシュ：程よい甘味、エレガントな花のアロマ。",https://www.saketry.com/113094.html,スコットランド,ローランド,ウインターバッチシリーズ,,46,700,ダフトミル蒸溜所,2010,12
ダルユーイン 2008 15年 バリック 48.0% 700mlザ・モルトマン,"香り：シェリー酒の香り、蜂蜜やクローブも密かに感じられる。
味わい：滑らかで温かみのある口当たり。ダークチョコレート、バナナローフ、カリっとしたブラウンシュガー、ナッツのノート、ミルキーなコーヒー。
フィニッシュ：甘いサルタナ（レーズン）、カスタード、塩キャラメルとバターでコーティングしたブリオッシュの風味が余韻として残る。",https://www.saketry.com/113097.html,スコットランド,スペイサイド,ザ・モルトマン,,48,700,ダルユーイン蒸溜所,2008,15
ヴァイタルスパーク 2009 14年 シェリー・フィニッシュ 58.7% 500mlメドウサイド,"香り：焦がしたオーク、磯の香りや、炭を焚いたスモーキーな香り。
味わい：オイリーな口当たり。薬品ぽさや甘草の塩漬け、トーストしたアーモンド、焼きバナナの甘み。
フィニッシュ：煮詰めた洋梨、チョコレートパンに微かなシェリーの甘みが続く。",https://www.saketry.com/113098.html,スコットランド,,ヴァイタルスパーク,メドウサイド・ブレンディング,58.7,500,,2009,14
インチマリン 2014 9年 シェリーバット 46% 700mlハートブラザーズ ファイネスト・コレクション,"香り：砂糖漬けのリンゴ、バター、クローブの香りを伴う豊潤さ。
味わい：塩キャラメル味のショートブレッド、スパイシーさが口に広がる。
フィニッシュ：余韻は長く、シリアルとクラブアップルをたっぷりと感じさせるジューシーさが特徴的。",https://www.saketry.com/113099.html,スコットランド,ハイランド,ハートブラザーズ ファイネスト コレクション,Campbell Meyer,46,700,ロッホ・ローモンド蒸溜所,2014,9
グレンオード 2013 10年 シェリーバット 54.9% 700mlハートブラザーズ,"香り：アップルパイ、オレンジの花、バニラを伴う甘い香り。
味わい：豊潤で甘いモルト、蜂蜜、ナッツが口の中に広がる。
フィニッシュ：ミディアムボディで温かみのある余韻。",https://www.saketry.com/113100.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,54.9,700,グレンオード蒸溜所,2013,10
グレントファース 2013 10年 57.9% 700mlハートブラザーズ,"香り：桃、ミルクチョコレート、大麦麦芽、わずかにハーブスパイスが感じられる。
味わい：柑橘類の香りを伴う甘い穀物、さらにハーブの風味が強く感じられ、豊潤なバニラフレーバーが後に続く。
フィニッシュ：ミディアムボディのしっかりとした余韻。",https://www.saketry.com/113101.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,57.9,700,グレントファース蒸溜所,2013,10
グレングラッサ 2012 10年 58.3% 700mlハートブラザーズ,"香り：フルーティーな軽さ。白ブドウ、ホワイトチョコレート、ほのかにタンジェリンが香る。
味わい：ホワイトチョコレートが口の中に広がり、豊潤なバニラと果樹園のフルーツのタッチも感じられる。
フィニッシュ：ミディアムボディで、より存在感を増したバニラとモルトが余韻として残る。",https://www.saketry.com/113102.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,58.3,700,グレングラッサ蒸溜所,2012,10
ザ・ヒーラック アイル・オブ ハリス シングルモルト・スコッチウイスキー 46％ 700mlアイル・オブ・ハリス,"香り：ライトピート、マチャイア（アウターヘブリディーズ諸島に咲く草原）のような素晴らしい香り、ベリー風味のワインガム。
味わい：焼きたてのフルーツケーキ、ジンジャーローフ、温かみのあるスパイシーさ、鍋で煮ながら焦がしたキャラメル。
フィニッシュ：ピートが再び香り立ち、リンゴのような甘さも感じられる。軽みがあってエレガント。丁寧に重ねた香りの層の変化を感じられる。",https://www.saketry.com/113104.html,スコットランド,アイランズ,アイル・オブ・ハリス,Isle of Harris Distillery,46,700,アイル・オブ・ハリス蒸溜所,,
コッツウォルズ バーボンカスク シングルモルトウイスキー 59.1% 700mlコッツウォルズ,"香り：バニラカスタードの甘味を伴ったモルトの香り。
味わい：レーズンとキャラメリゼしたイチジク、繊細なバニラの風味。
フィニッシュ：ほのかな土っぽさと蜂蜜が余韻として残る。",https://www.saketry.com/113107.html,イングランド,コッツウォルズ,コッツウォルズ,コッツウォルズ,59.1,700,コッツウォルズ蒸溜所,,
スキャパ 2003 19年 Exclusive to The Whisky Exchange 56.7% 700mlTHE WHIKSY EXCHANGE EXCLUSIVE,,https://www.saketry.com/113118.html,スコットランド,アイランズ,,The Whisky Exchange,56.70%,700,スキャパ蒸溜所,2003,19
ストラスアイラ 2007 15年 Exclusive to The Whisky Exchange 60.3% 700MLTHE WHIKSY EXCHANGE EXCLUSIVE,,https://www.saketry.com/113119.html,スコットランド,スペイサイド,,The Whisky Exchange,60.3,700,ストラスアイラ蒸溜所,2007,15
シングルモルト 駒ヶ岳 2023 エディション 50% 700ML駒ヶ岳 2023 エディション,,https://www.saketry.com/113120.html,日本,長野,駒ヶ岳 2023 エディション,本坊酒造,50,700,マルス信州蒸溜所,2023,
『北斗の拳』「ケンシロウ」ラベル グレンファークラス 2013 9年 61.2% 700ML漫画ラベル,"香り：陶酔感のある良い香り。ナツメヤシ。ラムレーズン。チョコレートのアイスクリーム添え。
味わい：ピンクペッパー入りのチョコレート。熟した巨峰。リッチなオロロソ。加水すると甘さがでる。
フィニッシュ：ややビターでスパイシーな、長く続くフィニッシュ。",https://www.saketry.com/113121.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー・ミュウ,61.2,700,グレンファークラス蒸溜所,2013,9
『北斗の拳』「ラオウ」ラベル グレンファークラス 2013 9年 61.9% 700ML漫画ラベル,"香り：チョコレートコーティングしたバナナ。イチゴのドライフルーツ。枝付きレーズン。ダンネージの熟成庫の香り。
味わい：ドライで、バランスよくスパイシー。マラスキーノチェリー。長熟のシェリーのニュアンス。
フィニッシュ：長くはないが、心地よくウッディなフィニッシュ。加水すると非常にスムーズになる。",https://www.saketry.com/113122.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー・ミュウ,61.9,700,グレンファークラス蒸溜所,2019,9
オールドオークニーモルト 13年 50.0% 700mlウイスキースポンジ,,https://www.saketry.com/113127.html,スコットランド,アイランズ,オールドオークニー,Decadent Drinks,50,700,,2009,13
ウルフバーン バッチNo.177 46% 700mlウルフバーン,"香り：ローストしたイチジク、プルーンとショウガの砂糖漬け。深みのあるプラムソースとトフィーの風味が、マジパン、サルタナレーズンと交わる。
味わい：糖蜜が絶えず引き立つ。時間が経つほど甘味が広がり、フルーツや蜂蜜がシルキーなオークのタンニンによって見事に混ざり合う。
フィニッシュ：粘り気のあるフルーティーさで、贅沢な美味しさが感じられる。",https://www.saketry.com/113132.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700,ウルフバーン蒸溜所,,
"『筋肉マン』ラベル ""夢の超人タッグ編"" カリラ 2006 15年 52.4% 700ML漫画ラベル","香り：ピート焚きした麦芽。海辺のキャンプファイヤー。畳のイグサの香り。ニッキ飴の甘さ。
味わい：程よく甘く、スパイシー。スモーキーさが、穏やかに口の中に広がる。
フィニッシュ：甘く長く続くピーティーなフィニッシュ。加水すると、麦感が強くなる。",https://www.saketry.com/113142.html,スコットランド,アイラ,漫画ラベルシリーズ,ウイスキー・ミュウ,52.4,700,カリラ蒸溜所,2006,15
『新造人間キャシャーン』ラベル アードモア 2010 12YO 52.0% 700ML漫画ラベル,"香り：スモーキーさとハチミツの甘さが拮抗している。ローストした麦芽。オレンジピール入りのチョコレート。
味わい：ピートの灰。バランスのよいウッディさ。
フィニッシュ：長く続くビターで温かいフィニッシュ。加水すると飲みやすくなるが、ピーティさはかわらない。",https://www.saketry.com/113144.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,52,700,アードモア蒸溜所,2010,12
2024 福袋 3万円コーススコッチモルトセレクション,,https://www.saketry.com/113148.html,,,,スコッチモルト・セールス,,,,,
2024 福袋 5万円コーススコッチモルトセレクション,,https://www.saketry.com/113149.html,,,,スコッチモルト・セールス,,,,,
2024 福袋 8万円コーススコッチモルトセレクション,,https://www.saketry.com/113150.html,,,,スコッチモルト・セールス,,,,,
2024 福袋 10万円コーススコッチモルトセレクション,,https://www.saketry.com/113151.html,,,,スコッチモルト・セールス,,,,,
2024 WOLFBURN福袋 WOLFBURN,,https://www.saketry.com/113152.html,,,,,,,,,
『はいからさんが通る』ラベル あかし5年 62% 500ml漫画ラベル,"香り：しっかりとしたピーティさを甘さが包んでいる。バニラとバナナ。背後に、ピート焚きした麦芽の殻。
味わい：キルンの中の空気。スモークしたナッツ。
フィニッシュ：シナモン風味の飴。温かく長く続くフィニッシュ。加水すると、さらにスムーズになる。",https://www.saketry.com/113154.html,日本,兵庫県,漫画ラベルシリーズ,,62,500,江井ヶ嶋蒸留所,,5
『あさきゆめみし』ラベル あかし9年 63% 500ml漫画ラベル,"香り：透明感がある、とてもよい香り。心地よいウッディさ。オレンジの皮とバニラアイス。時間が経つと、かすかに薔薇の香り。
味わい：フルーティーだが、ややオイリー。わずかにスモーキーで、パウダリー。わずかに、ヒノキの新しい木材と御香。
フィニッシュ：あたたかく、ビター。加水するとすっきりとするがスパイシー。",https://www.saketry.com/113155.html,日本,兵庫県,漫画ラベルシリーズ,,63,500,江井ヶ嶋蒸留所,,9
シングルモルト 津貫 2024 エディション 50% 700シングルモルト 津貫,,https://www.saketry.com/113158.html,日本,鹿児島,シングルモルト津貫2024 エディション,本坊酒造,50,700,津貫蒸溜所,,
Scary Tale 5th Bottling  ティーニニック  2008 15年 ファーストフィル オロロソ ホグスヘッド 51.8% 700mlScary Tale,"香り：穏やかなオーク、グレープフルーツ、パセリ、サトウキビ。
味わい：レモンネード、金柑、蜂蜜、ハーブのヒント、背後にホースラディッシュ。
フィニッシュ：ミディアムからロング、パセリ、草、ダークチョコレート。",https://www.saketry.com/113161.html,スコットランド,ハイランド,Scary Tale,CLUB QING,51.8,700,ティーニニック蒸溜所,2008,15
Happy Loner  ファスト ボトリング ブレアアソール 2009 14年 オロロソ シェリー ホグスヘッド 51.0% 700mlHappy Loner,"香り：甘い、甘草、日本の桃、キャンディー、マーマレードジャム、ミルクチョコレート、干梅。
味わい：オレンジ、ミルクチョコレート、甘草、咳止めのシロップ、パセリ。
フィニッシュ：ミディアム、紅茶、樟脳、ハーブ。",https://www.saketry.com/113162.html,スコットランド,ハイランド,Happy Loner,CLUB QING,51,700,ブレアアソール蒸溜所,2009,14
『鉄人28号』ラベル ストラスアイラ 2013 9年 52.7% 700ML漫画ラベル,"香り：美しくフルーティーで、フラワリーかつエステリー。完熟のリンゴとラフランス。バニラとバナナ。
味わい：麦芽の花粉のニュアンス。生き生きとして、活発な印象。アロマと比べるとドライ。程よいウッディさとスパイシーさ。
フィニッシュ：爽やか長く続くフィニッシュ。加水するとソフトで、かなりスムーズになる。",https://www.saketry.com/113175.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー・ミュウ,52.7,700,ストラスアイラ蒸溜所,2013,9
イクイノックス＆ソルスティス オータム エディション 2023 アバフェルディ 10年 48.5% 700mlイクイノックス＆ソルスティス,,https://www.saketry.com/113189.html,スコットランド,ハイランド,イクイノックス & ソルスティス,Decadent Drinks,48.5,700,アバフェルディ蒸溜所,,10
オールド・オークニー OO2 19年 53% 700mlオールド・オークニー,,https://www.saketry.com/113192.html,スコットランド,アイランズ,オールド・オークニー,Decadent Drinks,53,700,,,19
イクイノックス＆ソルスティス ウィンターエディション 2023 ミルトンダフ 11年 1st フィル・シェリーホグスヘッド 48.5% 700mlイクイノックス＆ソルスティス,,https://www.saketry.com/113193.html,スコットランド,ハイランド,イクイノックス＆ソルスティス,Decadent Drinks,48.5,700,ミルトンダフ蒸溜所,,11
エディション No.84 オーヘントッシャン 31年 2nd フィル・バレル 53.6% 700mlウイスキースポンジ,,https://www.saketry.com/113194.html,スコットランド,ローランド,ウイスキースポンジ,Decadent Drinks,53.6,700,オーヘントッシャン蒸溜所,,31
ブレアソール 1992 31年 43.3% 700mlザ・モルトマン,,https://www.saketry.com/113207.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,43.3,700,ブレアソール蒸溜所,1992,31
YUZA シングルモルト ジャパニーズウイスキー サードエディション 2023 55% 700mledition シリーズ,,https://www.saketry.com/113218.html,日本,山形県,edition シリーズ,株式会社金龍,55,700,遊佐蒸留所,,
YUZA スプリング イン ジャパン 2024 55% 700ML限定シリーズ,,https://www.saketry.com/113219.html,日本,山形県,スプリング イン  ジャパン,金龍,55,700,遊佐蒸溜所,,
「ミワさんなりすます」ラベル アードモア 2010 12年 48.1% 700ML漫画ラベル,"香り：パンケーキの甘さ。オレンジマーマレード。ほのかにスモーキーで、土っぽい。
味わい：麦汁由来の甘さ。心地よいウッディーさと、スパイシーさ。ややオイリーで、食欲をそそる。
フィニッシュ：温かくややビターで、スモーキーなフィニッシュ。",https://www.saketry.com/113231.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,48.1,700,アードモア蒸溜所,2010,12
