商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数,tokens,tokens_cleaned
『北斗の拳』「ラオウ」ラベル グレンファークラス 2013 9年 61.9% 700ML漫画ラベル,"香り：チョコレートコーティングしたバナナ。イチゴのドライフルーツ。枝付きレーズン。ダンネージの熟成庫の香り。
味わい：ドライで、バランスよくスパイシー。マラスキーノチェリー。長熟のシェリーのニュアンス。
フィニッシュ：長くはないが、心地よくウッディなフィニッシュ。加水すると非常にスムーズになる。",https://www.saketry.com/113122.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー・ミュウ,61.9,700.0,グレンファークラス蒸溜所,2019,9,香り ： チョコレート コーティング し た バナナ 。 イチゴ の ドライ フルーツ 。 枝 付き レーズン 。 ダンネージ の 熟成 庫 の 香り 。 味わい ： ドライ で 、 バランス よく スパイシー 。 マラスキーノチェリー 。 長 熟 の シェリー の ニュアンス 。 フィニッシュ ： 長く は ない が 、 心地よく ウッディ な フィニッシュ 。 加水 する と 非常 に スムーズ に なる 。,チョコレート コーティング バナナ イチゴ ドライ フルーツ 付き レーズン ダンネージ 熟成 ドライ バランス よく スパイシー マラスキーノチェリー シェリー ニュアンス 長く ない 心地よく ウッディ 加水 非常 スムーズ なる
ウルフバーン バッチNo.177 46% 700mlウルフバーン,"香り：ローストしたイチジク、プルーンとショウガの砂糖漬け。深みのあるプラムソースとトフィーの風味が、マジパン、サルタナレーズンと交わる。
味わい：糖蜜が絶えず引き立つ。時間が経つほど甘味が広がり、フルーツや蜂蜜がシルキーなオークのタンニンによって見事に混ざり合う。
フィニッシュ：粘り気のあるフルーティーさで、贅沢な美味しさが感じられる。",https://www.saketry.com/113132.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700.0,ウルフバーン蒸溜所,,,香り ： ロースト し た イチジク 、 プルーン と ショウガ の 砂糖 漬け 。 深み の ある プラム ソース と トフィー の 風味 が 、 マジパン 、 サルタナレーズン と 交わる 。 味わい ： 糖蜜 が 絶えず 引き立つ 。 時間 が 経つ ほど 甘味 が 広がり 、 フルーツ や 蜂蜜 が シル キー な オーク の タンニン によって 見事 に 混ざり 合う 。 フィニッシュ ： 粘り気 の ある フルーティー さ で 、 贅沢 な 美味し さ が 感じ られる 。,ロースト イチジク プルーン ショウガ 砂糖 漬け 深み プラム ソース トフィー 風味 マジパン サルタナレーズン 交わる 糖蜜 絶えず 引き立つ 時間 経つ ほど 甘味 広がり フルーツ 蜂蜜 シル キー オーク タンニン によって 見事 混ざり 合う 粘り気 フルーティー 贅沢 美味し られる
"『筋肉マン』ラベル ""夢の超人タッグ編"" カリラ 2006 15年 52.4% 700ML漫画ラベル","香り：ピート焚きした麦芽。海辺のキャンプファイヤー。畳のイグサの香り。ニッキ飴の甘さ。
味わい：程よく甘く、スパイシー。スモーキーさが、穏やかに口の中に広がる。
フィニッシュ：甘く長く続くピーティーなフィニッシュ。加水すると、麦感が強くなる。",https://www.saketry.com/113142.html,スコットランド,アイラ,漫画ラベルシリーズ,ウイスキー・ミュウ,52.4,700.0,カリラ蒸溜所,2006,15,香り ： ピート 焚き し た 麦芽 。 海辺 の キャンプファイヤー 。 畳 の イグサ の 香り 。 ニッキ 飴 の 甘 さ 。 味わい ： 程よく 甘く 、 スパイシー 。 スモーキー さ が 、 穏やか に 口 の 中 に 広がる 。 フィニッシュ ： 甘く 長く 続く ピーティー な フィニッシュ 。 加水 する と 、 麦 感 が 強く なる 。,ピート 焚き 麦芽 海辺 キャンプファイヤー イグサ ニッキ 程よく 甘く スパイシー スモーキー 穏やか 広がる 甘く 長く 続く ピーティー 加水 強く なる
『新造人間キャシャーン』ラベル アードモア 2010 12YO 52.0% 700ML漫画ラベル,"香り：スモーキーさとハチミツの甘さが拮抗している。ローストした麦芽。オレンジピール入りのチョコレート。
味わい：ピートの灰。バランスのよいウッディさ。
フィニッシュ：長く続くビターで温かいフィニッシュ。加水すると飲みやすくなるが、ピーティさはかわらない。",https://www.saketry.com/113144.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,52,700.0,アードモア蒸溜所,2010,12,香り ： スモーキー さ と ハチミツ の 甘 さ が 拮抗 し て いる 。 ロースト し た 麦芽 。 オレンジピール 入り の チョコレート 。 味わい ： ピート の 灰 。 バランス の よい ウッディ さ 。 フィニッシュ ： 長く 続く ビター で 温かい フィニッシュ 。 加水 する と 飲み やすく なる が 、 ピーティ さ は かわら ない 。,スモーキー ハチミツ 拮抗 ロースト 麦芽 オレンジピール 入り チョコレート ピート バランス よい ウッディ 長く 続く ビター 温かい 加水 飲み やすく なる ピーティ かわら ない
『はいからさんが通る』ラベル あかし5年 62% 500ml漫画ラベル,"香り：しっかりとしたピーティさを甘さが包んでいる。バニラとバナナ。背後に、ピート焚きした麦芽の殻。
味わい：キルンの中の空気。スモークしたナッツ。
フィニッシュ：シナモン風味の飴。温かく長く続くフィニッシュ。加水すると、さらにスムーズになる。",https://www.saketry.com/113154.html,日本,兵庫県,漫画ラベルシリーズ,,62,500.0,江井ヶ嶋蒸留所,,5,香り ： しっかり と し た ピーティ さ を 甘 さ が 包ん で いる 。 バニラ と バナナ 。 背後 に 、 ピート 焚き し た 麦芽 の 殻 。 味わい ： キルン の 中 の 空気 。 スモーク し た ナッツ 。 フィニッシュ ： シナモン 風味 の 飴 。 温かく 長く 続く フィニッシュ 。 加水 する と 、 さらに スムーズ に なる 。,しっかり ピーティ 包ん バニラ バナナ 背後 ピート 焚き 麦芽 キルン 空気 スモーク ナッツ シナモン 風味 温かく 長く 続く 加水 さらに スムーズ なる
『あさきゆめみし』ラベル あかし9年 63% 500ml漫画ラベル,"香り：透明感がある、とてもよい香り。心地よいウッディさ。オレンジの皮とバニラアイス。時間が経つと、かすかに薔薇の香り。
味わい：フルーティーだが、ややオイリー。わずかにスモーキーで、パウダリー。わずかに、ヒノキの新しい木材と御香。
フィニッシュ：あたたかく、ビター。加水するとすっきりとするがスパイシー。",https://www.saketry.com/113155.html,日本,兵庫県,漫画ラベルシリーズ,,63,500.0,江井ヶ嶋蒸留所,,9,香り ： 透明 感 が ある 、 とても よい 香り 。 心地よい ウッディ さ 。 オレンジ の 皮 と バニラ アイス 。 時間 が 経つ と 、 かすか に 薔薇 の 香り 。 味わい ： フルーティー だ が 、 やや オイリー 。 わずか に スモーキー で 、 パウダリー 。 わずか に 、 ヒノキ の 新しい 木材 と 御 香 。 フィニッシュ ： あたたかく 、 ビター 。 加水 する と すっきり と する が スパイシー 。,透明 よい 心地よい ウッディ オレンジ バニラ アイス 時間 経つ 薔薇 フルーティー オイリー スモーキー パウダリー ヒノキ 新しい 木材 あたたかく ビター 加水 すっきり スパイシー
Scary Tale 5th Bottling  ティーニニック  2008 15年 ファーストフィル オロロソ ホグスヘッド 51.8% 700mlScary Tale,"香り：穏やかなオーク、グレープフルーツ、パセリ、サトウキビ。
味わい：レモンネード、金柑、蜂蜜、ハーブのヒント、背後にホースラディッシュ。
フィニッシュ：ミディアムからロング、パセリ、草、ダークチョコレート。",https://www.saketry.com/113161.html,スコットランド,ハイランド,Scary Tale,CLUB QING,51.8,700.0,ティーニニック蒸溜所,2008,15,香り ： 穏やか な オーク 、 グレープフルーツ 、 パセリ 、 サトウキビ 。 味わい ： レモンネード 、 金柑 、 蜂蜜 、 ハーブ の ヒント 、 背後 に ホース ラディッシュ 。 フィニッシュ ： ミディアム から ロング 、 パセリ 、 草 、 ダーク チョコレート 。,穏やか オーク グレープフルーツ パセリ サトウキビ レモンネード 金柑 蜂蜜 ハーブ ヒント 背後 ホース ラディッシュ ミディアム から ロング パセリ ダーク チョコレート
Happy Loner  ファスト ボトリング ブレアアソール 2009 14年 オロロソ シェリー ホグスヘッド 51.0% 700mlHappy Loner,"香り：甘い、甘草、日本の桃、キャンディー、マーマレードジャム、ミルクチョコレート、干梅。
味わい：オレンジ、ミルクチョコレート、甘草、咳止めのシロップ、パセリ。
フィニッシュ：ミディアム、紅茶、樟脳、ハーブ。",https://www.saketry.com/113162.html,スコットランド,ハイランド,Happy Loner,CLUB QING,51,700.0,ブレアアソール蒸溜所,2009,14,香り ： 甘い 、 甘草 、 日本 の 桃 、 キャンディー 、 マーマレード ジャム 、 ミルク チョコレート 、 干 梅 。 味わい ： オレンジ 、 ミルク チョコレート 、 甘草 、 咳 止め の シロップ 、 パセリ 。 フィニッシュ ： ミディアム 、 紅茶 、 樟脳 、 ハーブ 。,甘い 甘草 日本 キャンディー マーマレード ジャム ミルク チョコレート オレンジ ミルク チョコレート 甘草 止め シロップ パセリ ミディアム 紅茶 樟脳 ハーブ
『鉄人28号』ラベル ストラスアイラ 2013 9年 52.7% 700ML漫画ラベル,"香り：美しくフルーティーで、フラワリーかつエステリー。完熟のリンゴとラフランス。バニラとバナナ。
味わい：麦芽の花粉のニュアンス。生き生きとして、活発な印象。アロマと比べるとドライ。程よいウッディさとスパイシーさ。
フィニッシュ：爽やか長く続くフィニッシュ。加水するとソフトで、かなりスムーズになる。",https://www.saketry.com/113175.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー・ミュウ,52.7,700.0,ストラスアイラ蒸溜所,2013,9,香り ： 美しく フルーティー で 、 フラワリー かつ エステリー 。 完熟 の リンゴ と ラフランス 。 バニラ と バナナ 。 味わい ： 麦芽 の 花粉 の ニュアンス 。 生き生き と し て 、 活発 な 印象 。 アロマ と 比べる と ドライ 。 程よい ウッディ さ と スパイシー さ 。 フィニッシュ ： 爽やか 長く 続く フィニッシュ 。 加水 する と ソフト で 、 かなり スムーズ に なる 。,美しく フルーティー フラワリー かつ エステリー 完熟 リンゴ ラフランス バニラ バナナ 麦芽 花粉 ニュアンス 生き生き 活発 印象 比べる ドライ 程よい ウッディ スパイシー 爽やか 長く 続く 加水 ソフト スムーズ なる
「ミワさんなりすます」ラベル アードモア 2010 12年 48.1% 700ML漫画ラベル,"香り：パンケーキの甘さ。オレンジマーマレード。ほのかにスモーキーで、土っぽい。
味わい：麦汁由来の甘さ。心地よいウッディーさと、スパイシーさ。ややオイリーで、食欲をそそる。
フィニッシュ：温かくややビターで、スモーキーなフィニッシュ。",https://www.saketry.com/113231.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,48.1,700.0,アードモア蒸溜所,2010,12,香り ： パンケーキ の 甘 さ 。 オレンジ マーマレード 。 ほのか に スモーキー で 、 土 っぽい 。 味わい ： 麦 汁 由来 の 甘 さ 。 心地よい ウッディー さ と 、 スパイシー さ 。 やや オイリー で 、 食欲 を そそる 。 フィニッシュ ： 温かく やや ビター で 、 スモーキー な フィニッシュ 。,パンケーキ オレンジ マーマレード スモーキー っぽい 由来 心地よい ウッディー スパイシー オイリー 食欲 そそる 温かく ビター スモーキー
"「村松誠イラスト」ラベル ""猫” TOMARTIN 2008 13年 49.4% 700MLウイスキー・ミュウ","香り：フレッシュで、ややワクシー。みかんの皮。ピーナッツ。オレンジ風味のキャンディー。
味わい：麦芽の甘さ。ややジンジャーのよう。白コショウ。アニスシードなどのスパイス。加水するとややスパイシーさが強まるが、最後にトロピカル風味がでる。
フィニッシュ：温かく、パウダリーなフィニッシュ。",https://www.saketry.com/113232.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,49.4,700.0,トマーティン蒸溜所,2008,13,香り ： フレッシュ で 、 やや ワクシー 。 みかん の 皮 。 ピーナッツ 。 オレンジ 風味 の キャンディー 。 味わい ： 麦芽 の 甘 さ 。 やや ジンジャー の よう 。 白 コショウ 。 アニスシード など の スパイス 。 加水 する と やや スパイシー さ が 強まる が 、 最後 に トロピカル 風味 が でる 。 フィニッシュ ： 温かく 、 パウダリー な フィニッシュ 。,フレッシュ ワクシー みかん ピーナッツ オレンジ 風味 キャンディー 麦芽 ジンジャー よう コショウ アニスシード など スパイス 加水 スパイシー 強まる 最後 トロピカル 風味 でる 温かく パウダリー
"「村松誠イラスト」ラベル ""犬” TOMARTIN 2008 13年 49.4% 700ML漫画ラベル","香り：フレッシュで、ややワクシー。みかんの皮。ピーナッツ。オレンジ風味のキャンディー。
味わい：麦芽の甘さ。ややジンジャーのよう。白コショウ。アニスシードなどのスパイス。加水するとややスパイシーさが強まるが、最後にトロピカル風味がでる。
フィニッシュ：温かく、パウダリーなフィニッシュ。",https://www.saketry.com/113233.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,49.4,700.0,トマーティン蒸溜所,2008,13,香り ： フレッシュ で 、 やや ワクシー 。 みかん の 皮 。 ピーナッツ 。 オレンジ 風味 の キャンディー 。 味わい ： 麦芽 の 甘 さ 。 やや ジンジャー の よう 。 白 コショウ 。 アニスシード など の スパイス 。 加水 する と やや スパイシー さ が 強まる が 、 最後 に トロピカル 風味 が でる 。 フィニッシュ ： 温かく 、 パウダリー な フィニッシュ 。,フレッシュ ワクシー みかん ピーナッツ オレンジ 風味 キャンディー 麦芽 ジンジャー よう コショウ アニスシード など スパイス 加水 スパイシー 強まる 最後 トロピカル 風味 でる 温かく パウダリー
「三丁目の夕日」ラベル あかし 3年 (トロンセ樽) 63% 500ML漫画ラベル,"香り：リッチで力強い。巨木の樹皮。熟成庫の床。干し柿やデーツ。いつまでも嗅いでいたいエレガントな香り。
味わい：心地よいウッディーさと、スパイシーさ。トーストした樽材と、スモークしたような穀物。加水するとやや明るい印象となる。
フィニッシュ：深みのある温かいフィニッシュ。",https://www.saketry.com/113234.html,日本,兵庫県,漫画ラベルシリーズ,,63,500.0,江井ヶ嶋蒸留所,,3,香り ： リッチ で 力強い 。 巨木 の 樹皮 。 熟成 庫 の 床 。 干し柿 や デーツ 。 いつ まで も 嗅い で い たい エレガント な 香り 。 味わい ： 心地よい ウッディー さ と 、 スパイシー さ 。 トースト し た 樽 材 と 、 スモーク し た よう な 穀物 。 加水 する と やや 明るい 印象 と なる 。 フィニッシュ ： 深み の ある 温かい フィニッシュ 。,リッチ 力強い 巨木 樹皮 熟成 干し柿 デーツ いつ まで 嗅い たい エレガント 心地よい ウッディー スパイシー トースト スモーク よう 穀物 加水 明るい 印象 なる 深み 温かい
ザ クライドサイド 2018 5年 FOR  スリーリバーズ 20th アニバーサリー 58.6% 700mlクライドサイド,"香り：バニラ&シナモン、カスタードクリーム、アニス、アマレット。
味わい：バニラ、バナナチップ、シナモンパウダー、アニスにバニラアイス。
フィニッシュ：スパイスとクローブのビターがホットに続く。",https://www.saketry.com/113237.html,スコットランド,ローランド,,AD ラトレー,58.6,700.0,クライドサイド蒸溜所,2018,5,香り ： バニラ & シナモン 、 カスタード クリーム 、 アニス 、 アマレット 。 味わい ： バニラ 、 バナナ チップ 、 シナモン パウダー 、 アニス に バニラ アイス 。 フィニッシュ ： スパイス と クローブ の ビター が ホット に 続く 。,バニラ シナモン カスタード クリーム アニス アマレット バニラ バナナ チップ シナモン パウダー アニス バニラ アイス スパイス クローブ ビター ホット 続く
『釣りバカ日誌』ラベル シークレットアイラ 2013 ８年 53.4% 700ml漫画ラベル,"香り：透明感のあるピーティーさを、甘さとフルーティーさが包んでいる。徐々にピート焚きした麦芽。美味しい桜餅や柏餅。
味わい：香りで感じるよりピーティーさが強い。キルンの煙、海辺の焚き火。焼いたグレープフルーツの皮。加水すると、甘さがでて、やや優しくなる。
フィニッシュ：スパイシーでホットなフィニッシュ。",https://www.saketry.com/113239.html,日本,アイラ,漫画ラベルシリーズ,ウイスキー・ミュウ,53.4,700.0,,2013,8,香り ： 透明 感 の ある ピーティー さ を 、 甘 さ と フルーティー さ が 包ん で いる 。 徐々に ピート 焚き し た 麦芽 。 美味しい 桜餅 や 柏餅 。 味わい ： 香り で 感じる より ピーティー さ が 強い 。 キルン の 煙 、 海辺 の 焚き火 。 焼い た グレープフルーツ の 皮 。 加水 する と 、 甘 さ が で て 、 やや 優しく なる 。 フィニッシュ ： スパイシー で ホット な フィニッシュ 。,透明 ピーティー フルーティー 包ん 徐々に ピート 焚き 麦芽 美味しい 桜餅 柏餅 感じる より ピーティー 強い キルン 海辺 焚き火 焼い グレープフルーツ 加水 優しく なる スパイシー ホット
『黄昏流星群』ラベル シークレットアイラ 2018 4年 53.7% 700ML漫画ラベル,"香り：すっきりとしてフレッシュ。柑橘類(みかん)の皮。奥にかすかにレザーと土。
味わい：さわやかで力強い。ピーティーでスモーキー。若いがウッディーな苦味がある。海辺のバーベキュー。加水してもパワフルさは衰えない。
フィニッシュ：甘いがスパイシーな長く続くフィニッシュ。",https://www.saketry.com/113241.html,スコットランド,アイラ,漫画ラベルシリーズ,,53.7,700.0,ウイスキー・ミュウ,2018,4,香り ： すっきり として フレッシュ 。 柑橘類 ( みかん ) の 皮 。 奥 に かすか に レザー と 土 。 味わい ： さわやか で 力強い 。 ピーティー で スモーキー 。 若い が ウッディー な 苦味 が ある 。 海辺 の バーベキュー 。 加水 し て も パワフル さ は 衰え ない 。 フィニッシュ ： 甘い が スパイシー な 長く 続く フィニッシュ 。,すっきり として フレッシュ 柑橘類 みかん レザー さわやか 力強い ピーティー スモーキー 若い ウッディー 苦味 海辺 バーベキュー 加水 パワフル 衰え ない 甘い スパイシー 長く 続く
【限定377本】シークレットアイラ 2017 6年 ウイスキペディア×Pen コラボレーションボトル 53.9% 700mlウイスキペディア×Pen,"香り：青リンゴ、ピートとキャラメル
味わい：燻製、ドライな麦感、フレッシュな果物、若さ由来のアタック感
フィニッシュ：煙と麦がかすかなスパイスを伴いながら広がっていく",https://www.saketry.com/113246.html,スコットランド,アイラ,ウイスキペディア×Pen,ザ・ウイスキーエージェンシー,53.9,700.0,,2017,6,香り ： 青 リンゴ 、 ピート と キャラメル 味わい ： 燻製 、 ドライ な 麦 感 、 フレッシュ な 果物 、 若 さ 由来 の アタック 感 フィニッシュ ： 煙 と 麦 が かすか な スパイス を 伴い ながら 広がっ て いく,リンゴ ピート キャラメル 燻製 ドライ フレッシュ 果物 由来 アタック スパイス 伴い ながら 広がっ いく
【限定58本】シークレットアイラ 2009 14年 ウイスキペディア×Pen コラボレーションボトル 51.7% 700mlウイスキペディア×Pen,"香り：薬品的なピート、果物、わずかにハーブティーの味わい
味わい：甘いモルト、柑橘類、ミネラル、焚火を思わせる煙感
フィニッシュ：軽やかなボディから静かに伸びていく煙とフルーティーさが長引く",https://www.saketry.com/113247.html,スコットランド,アイラ,ウイスキペディア×Pen,ザ・ウイスキーエージェンシー,51.7,700.0,,2009,14,香り ： 薬品 的 な ピート 、 果物 、 わずか に ハーブ ティー の 味わい 味わい ： 甘い モルト 、 柑橘類 、 ミネラル 、 焚火 を 思わ せる 煙 感 フィニッシュ ： 軽やか な ボディ から 静か に 伸び て いく 煙 と フルーティー さ が 長引く,薬品 ピート 果物 ハーブ ティー 甘い モルト 柑橘類 ミネラル 焚火 思わ せる 軽やか ボディ から 静か 伸び いく フルーティー 長引く
『銀河英雄伝説』ラインハルト ラベル プルトニー 2013 9年 52.3% 700ML漫画ラベルシリーズ,"香り：エステリーでフルーティー。さわやかに甘い。ピーチ、ヨーグルト、青リンゴ、わずかにイースト。奥に潮っぽさ。
味わい：ラフランス、レモン、シャインマスカット。澄んだ麦汁。オイリーなテクスチャー。
フィニッシュ：ややスパイシー。",https://www.saketry.com/113251.html,スコットランド,ハイランド,漫画ラベル,ウイスキーミュウ,52.3,700.0,プルトニー蒸溜所,2013,9,香り ： エステリー で フルーティー 。 さわやか に 甘い 。 ピーチ 、 ヨーグルト 、 青 リンゴ 、 わずか に イースト 。 奥 に 潮 っぽ さ 。 味わい ： ラフランス 、 レモン 、 シャインマスカット 。 澄ん だ 麦 汁 。 オイリー な テクスチャー 。 フィニッシュ ： やや スパイシー 。,エステリー フルーティー さわやか 甘い ピーチ ヨーグルト リンゴ イースト っぽ ラフランス レモン シャインマスカット 澄ん オイリー テクスチャー スパイシー
『銀河英雄伝説』ヤン・ウェンリー・ラベル カリラ 2010 12年 53.4% 700ML漫画ラベル,"香り：さわやかにスモーキー。ピート焚きした麦芽の甘み。海草、海辺の焚き火。
味わい：はっきりとピーティー。レモングラスの酸味。透明感がある。加水すると麦汁感が強くなる。
フィニッシュ：すっきりとして、ややスパイシー。",https://www.saketry.com/113252.html,スコットランド,アイラ,漫画ラベルシリーズ,ウイスキーミュウ,53.4,700.0,カリラ蒸溜所,2010,12,香り ： さわやか に スモーキー 。 ピート 焚き し た 麦芽 の 甘み 。 海草 、 海辺 の 焚き火 。 味わい ： はっきり と ピーティー 。 レモン グラス の 酸味 。 透明 感 が ある 。 加水 する と 麦 汁 感 が 強く なる 。 フィニッシュ ： すっきり と し て 、 やや スパイシー 。,さわやか スモーキー ピート 焚き 麦芽 甘み 海草 海辺 焚き火 はっきり ピーティー レモン グラス 酸味 透明 加水 強く なる すっきり スパイシー
『西伊豆木負』ラベル 川瀬巴水 ベンネヴィス 2012  10年 56.1% 700MLアートエクスプレッション,"香り：ダークチョコレート。デーツやプルーンなどのドライフルーツ。徐々に、タールのようなオイリーさが強くなってくる。
味わい：ドライオロロソの味が口の中に広がる。酸味とタンニンのビターさ。加水するとワクシーさがでてくる。
フィニッシュ：濃厚で長く続くフィニッシュ。",https://www.saketry.com/113253.html,スコットランド,ハイランド尾,アートエクスプレション,ウイスキー・ミュウ,56.1,700.0,ベンネヴィス蒸溜所,2012,10,香り ： ダーク チョコレート 。 デーツ や プルーン など の ドライ フルーツ 。 徐々に 、 タール の よう な オイリー さ が 強く なっ て くる 。 味わい ： ドライオロロソ の 味 が 口 の 中 に 広がる 。 酸味 と タンニン の ビター さ 。 加水 する と ワクシー さ が で て くる 。 フィニッシュ ： 濃厚 で 長く 続く フィニッシュ 。,ダーク チョコレート デーツ プルーン など ドライ フルーツ 徐々に タール よう オイリー 強く なっ くる ドライオロロソ 広がる 酸味 タンニン ビター 加水 ワクシー くる 濃厚 長く 続く
『東京十二景 馬込の月』ラベル  川瀬巴水 クラインリーシュ 2011 12年 61.0% 700MLアートエクスプレッション,"香り：フレッシュなリンゴ。甘い麦汁。ヨーグルト味のキャンディー。背後にある微かなスモーク。
味わい：ドライでスパイシー。穀物感のあるオイリーなテクスチャー。加水するとフルーティーさがでてくる。
フィニッシュ：ワクシーでホットな、長く続くフィニッシュ。",https://www.saketry.com/113254.html,スコットランド,ハイランド,アートエクスプレション,ウイスキー・ミュウ,61,700.0,クライヌリッシュ蒸留所,2011,12,香り ： フレッシュ な リンゴ 。 甘い 麦 汁 。 ヨーグルト 味 の キャンディー 。 背後 に ある 微か な スモーク 。 味わい ： ドライ で スパイシー 。 穀物 感 の ある オイリー な テクスチャー 。 加水 する と フルーティー さ が で て くる 。 フィニッシュ ： ワクシー で ホット な 、 長く 続く フィニッシュ 。,フレッシュ リンゴ 甘い ヨーグルト キャンディー 背後 スモーク ドライ スパイシー 穀物 オイリー テクスチャー 加水 フルーティー くる ワクシー ホット 長く 続く
アードモア 2013 10年 52.5% 700mlザ・クーパーズチョイス,"香り：ライトなピートの煙とバニラキャラメル
味わい：穏やかでドライなピートにショウガと柔らかな煙に包まれたバニラのヒント
フィニッシュ：長く続く煙とバニラ",https://www.saketry.com/113265.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,52.5,700.0,アードモア蒸溜所,2013,10,香り ： ライト な ピート の 煙 と バニラ キャラメル 味わい ： 穏やか で ドライ な ピート に ショウガ と 柔らか な 煙 に 包ま れ た バニラ の ヒント フィニッシュ ： 長く 続く 煙 と バニラ,ライト ピート バニラ キャラメル 穏やか ドライ ピート ショウガ 柔らか 包ま バニラ ヒント 長く 続く バニラ
ブレアソール 2011 12年 マスカットカスクフィニッシュ 52.5% 700mlザ・クーパーズチョイス,"香り：心地よいライトなシェリー、砂糖漬けのフルーツ
味わい：甘いモルトとドライアプリコット、サルタナレーズンが口に広がる。トフィーとスパイス
フィニッシュ：フレーバーの反復が素晴らしく長く続く",https://www.saketry.com/113266.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,52.5,700.0,ブレアソール蒸溜所,2011,12,香り ： 心地よい ライト な シェリー 、 砂糖 漬け の フルーツ 味わい ： 甘い モルト と ドライアプリコット 、 サルタナレーズン が 口 に 広がる 。 トフィー と スパイス フィニッシュ ： フレーバー の 反復 が 素晴らしく 長く 続く,心地よい ライト シェリー 砂糖 漬け フルーツ 甘い モルト ドライアプリコット サルタナレーズン 広がる トフィー スパイス 反復 素晴らしく 長く 続く
ベンリネス 2011 12年 マルティニークラムカスクフィニッシュ 51.5% 700mlザ・クーパーズチョイス,"香り：新鮮で生き生きとしたパイナップルと洋梨
味わい：豊かでエッジの効いた深みのあるフレーバー、嚙み応えのある大麦麦芽と甘いバニラ、トロピカルフルーツ、スパイスとライトオーク
フィニッシュ：よりフルーツとスパイスが豊かになっていく程よい長さの余韻",https://www.saketry.com/113267.html,スコットランド,スぺイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,51.5,700.0,ベンリネス蒸溜所,2011,12,香り ： 新鮮 で 生き生き と し た パイナップル と 洋梨 味わい ： 豊か で エッジ の 効い た 深み の ある フレーバー 、 嚙 み 応え の ある 大麦 麦芽 と 甘い バニラ 、 トロピカル フルーツ 、 スパイス と ライト オーク フィニッシュ ： より フルーツ と スパイス が 豊か に なっ て いく 程よい 長 さ の 余韻,新鮮 生き生き パイナップル 洋梨 豊か エッジ 効い 深み 応え 大麦 麦芽 甘い バニラ トロピカル フルーツ スパイス ライト オーク より フルーツ スパイス 豊か なっ いく 程よい 余韻
カンバス 1991 32年 47.5% 700mlザ・クーパーズチョイス,"香り：ジンジャーと緑茶をまぶしたバニラスポンジケーキ
味わい：オールドバーボンが香るバニラとトフィーポップコーン、ショートニングや焼き菓子の甘さ、スパイスと鉛筆の削りカス
フィニッシュ：ジンジャーの香りがぶり返す長い余韻",https://www.saketry.com/113268.html,スコットランド,ローランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,47.5,700.0,カンバス蒸溜所,1991,32,香り ： ジンジャー と 緑茶 を まぶし た バニラスポンジケーキ 味わい ： オールドバーボン が 香る バニラ と トフィーポップコーン 、 ショートニング や 焼き 菓子 の 甘 さ 、 スパイス と 鉛筆 の 削り カス フィニッシュ ： ジンジャー の 香り が ぶり返す 長い 余韻,ジンジャー 緑茶 まぶし バニラスポンジケーキ オールドバーボン 香る バニラ トフィーポップコーン ショートニング 焼き 菓子 スパイス 鉛筆 削り カス ジンジャー ぶり返す 長い 余韻
グレンロッシー2011 12年 カルヴァドスカスクフィニッシュ 54.5% 700mlザ・クーパーズチョイス,"香り：軽くグラッシー、シリアルと青リンゴの皮
味わい：柑橘と甘いモルト、ジンジャーと青リンゴにスパイス、オーキーなバニラ
フィニッシュ：短くてクリーンな余韻",https://www.saketry.com/113270.html,スコットランド,スぺイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,54.5,700.0,グレンロッシー蒸溜所,2011,12,香り ： 軽く グラッシー 、 シリアル と 青 リンゴ の 皮 味わい ： 柑橘 と 甘い モルト 、 ジンジャー と 青 リンゴ に スパイス 、 オー キー な バニラ フィニッシュ ： 短く て クリーン な 余韻,軽く グラッシー シリアル リンゴ 柑橘 甘い モルト ジンジャー リンゴ スパイス オー キー バニラ 短く クリーン 余韻
